2017-10-11 16:45:26,426 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 0
2017-10-11 16:45:26,438 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Employee, 'source_type' = t, 'target_name' = DVT_Target.Employee, 'target_type' = t, 'int i' = 0
2017-10-11 16:45:27,237 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 1
2017-10-11 16:45:27,255 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Area, 'source_type' = t, 'target_name' = DVT_Target.Area, 'target_type' = t, 'int i' = 1
2017-10-11 16:45:27,408 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 2
2017-10-11 16:45:27,411 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Client, 'source_type' = t, 'target_name' = DVT_Target.Client, 'target_type' = t, 'int i' = 2
2017-10-11 16:45:27,503 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 3
2017-10-11 16:45:27,505 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Contract, 'source_type' = t, 'target_name' = DVT_Target.Contract, 'target_type' = t, 'int i' = 3
2017-10-11 16:45:27,703 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 4
2017-10-11 16:45:27,705 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Item, 'source_type' = t, 'target_name' = DVT_Target.Item, 'target_type' = t, 'int i' = 4
2017-10-11 16:45:27,906 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 5
2017-10-11 16:45:27,910 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Product, 'source_type' = t, 'target_name' = DVT_Target.Product, 'target_type' = t, 'int i' = 5
2017-10-11 16:45:28,138 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 6
2017-10-11 16:45:28,140 INFO  RowCountLogger - In function 'rowCountComparison', parameter values: 'source_name' = DVT_Source.Region, 'source_type' = t, 'target_name' = DVT_Target.Region, 'target_type' = t, 'int i' = 6
2017-10-11 16:45:28,665 INFO  RowCountLogger - In function 'rowCountModuleManager', parameter values: 'int i' = 7
